akṣayā rājarājasya | HV_App.I,20.402a
akṣayārthaṃ mahī yasmāt | HV_App.I,4.87a
akṣayāḥ santi me tūṇāḥ | HV_App.I,42B.1901a
akṣayeṇāvyayena ca | HV_App.I,41.1920b
akṣayau caiva tūṇīrau | **HV_App.I,18.399**38:2
akṣayyakaraṇaṃ smṛtam | HV_App.I,29B.476b
akṣayyasāyakais tūṇaiḥ | HV_App.I,18.971a
akṣayyāya kṣayāya ca | **HV_App.I,31.1323**14:1b
akṣaraṃ ca kṣaraṃ caiva | HV_App.I,41.690a
akṣaraṃ puṣkarekṣaṇam | **HV_App.I,42A.577**60:6b
akṣaraṃ brahma yaṃ viduḥ | HV_App.I,41.165b
akṣaraṃ vā nṛpātmaja | **HV_App.I,40.139**39:14b
akṣaraṃ sattvam eva ca | HV_App.I,41.415b
akṣaraṃ sarvatomukham | HV_App.I,31.2278b
akṣarāṇām akāras tvaṃ | HV_App.I,31.1210a
akṣarād brāhmaṇāḥ saumyāḥ | HV_App.I,41.1080a
akṣarābhyāsam ucyate | HV_App.I,6A.29b
akṣavāṭe karīṣasya | HV_72.8a
akṣaḥ śrutarvā cāṇūraḥ | HV_89.17c
akṣāntaś cārisenāyāṃ | HV_App.I,20.601a
akṣān rukmī tato hṛṣṭaḥ | HV_89.37a
akṣiṇī vikṛte cakre | HV_67.35c
akṣudrāḥ satyavantaś ca | HV_109.50a
akṣeṣv anipuṇo 'pi ca | HV_89.20d
akṣaiḥ krīḍanti rājāno | *HV_89.42ab*1025:4a
akṣauhiṇīnāṃ ṣaṣṭiṃ ca | *HV_87.7*994:3a
akṣauhiṇībhir viṃśatyā | *HV_80.7cd*898:3a
akṣauhiṇīḥ prakarṣanto | HV_100.9c
akṣauhiṇyaś ca śūrāṇāṃ | HV_62.76a
akṣauhiṇyā ca viṃśatyā | *HV_81.21ab*905a
akṣauhiṇyā tu sainyasya | HV_25.14a
akṣauhiṇyo daśaivāsaṃs | HV_App.I,31.3098a
akṣauhiṇyo hi tasyāsan | HV_82.28a
akṣauhinyaikaviṃśatyā | *HV_80.2*895:3a
akṣṇor mamāstu satataṃ hṛdaye 'cyutākhyam | HV_App.I,31.2758
akṣṇoḥ sūryaḥ samutpannaḥ | HV_App.I,31.1178a
akhilaṃ dhārayiṣyasi | HV_45.18d
akhilāni purāṇāni | **HV_App.I,44.59**15:7a
agacchad vaḍavā bhūtvāc | HV_8.15a
agacchaṃ brahmaṇaḥ sabhām | HV_46.12d
agatiḥ pāpakarmaṇām | HV_30.30b
agatiḥ pāpakarmiṇām | HV_App.I,42B.2730b
agatyā me gatir bhava | *HV_107.78*1192:2b
agatvāpacitiṃ yuddhe | HV_App.I,29B.329a
agamaj jñānacakṣuṣā | HV_App.I,41.466b
agamat puṇḍarīkākṣo | HV_App.I,31.3590a
agamad baladevo 'ndhram | *HV_76.1c*844:3a
agamaṃs te vihāyasi | HV_App.I,29E.116b
agamaḥ khagamo 'bhavat | HV_61.32d
agamyaṃ tava viprendra | HV_App.I,31.1405a
agamyeṣv abhirajyante | HV_App.I,41.91a
agastyaguptām āśāṃ yaḥ | HV_87.12c
agastyabhavanaṃ caiva | HV_App.I,42A.454a
agastyena pulastyena | HV_App.I,37.106a
agastyo gālavo gārgyaḥ | HV_App.I,24.160a
agādhaparikhāyutām | HV_93.24b
agādhaṃ durdinaṃ mahat | HV_61.13d
agādhaṃ dyotamānaṃ ca | HV_55.47c
agādhenāmbhasā pūrṇaṃ | HV_55.42a
agādhe salile stabdhe | HV_App.I,41.228a
agādho bhrāja eva ca | HV_110.25d
agādho 'smi janārdana | HV_103.5b
agāraṃ toyadākāraṃ | HV_App.I,18.111a
agāraṃ ruciraṃ cakrur | HV_App.I,18.473a
agāvahaṃ mahātmānaṃ | HV_25.7e
agāvahaḥ sumitraś ca | HV_98.16a
agṛdhnuḥ suṣuve nṛpaḥ | HV_24.20b
agṛhṇāt parvatopamam | HV_App.I,42B.2402b
agṛhṇān niśitaṃ khaḍgam | HV_App.I,42B.921a
agṛhṇān mama tan nāma | HV_App.I,31.1367a
agṛhṇītāṃ varārhāyā | HV_92.57c
